NP_001254479	NP_001372637
XP_016866098	XP_036011805
NP_001258137	XP_006497839
NP_001373054	NP_001164983
XP_016866694	XP_017170110
NP_114141	XP_006529820
XP_016865452	XP_017170852
XP_011539410	NP_001153791
XP_011530622	XP_006535509
XP_006711865	XP_006516673
XP_016874792	XP_036011543
NP_000531	XP_036008707
XP_016878188	XP_006511166
NP_001027	XP_017172189
NP_001611	XP_006527316
XP_006719842	XP_011243195
NP_004658	XP_006540700
NP_061027	XP_006498522
XP_011537072	XP_017172163
NP_001278232	XP_006535547
NP_001367	NP_084514
XP_005264507	XP_006523581
NP_055426	XP_006537539
XP_016876590	NP_001005510
XP_005266395	XP_006519289
NP_001193856	XP_036016186
XP_016872668	XP_011240845
NP_001278744	XP_006498564
NP_001103132	XP_006530414
NP_036222	XP_036019483
XP_005248319	NP_579943
XP_016867969	XP_006535745
XP_011523718	XP_006534213
XP_005262892	XP_006509330
NP_001359035	NP_062409
NP_056193	NP_001263431
XP_016884680	XP_030107298
NP_001073932	XP_030099868
XP_024306373	XP_006533615
XP_005251033	NP_001157012
NP_004516	NP_001074557
XP_011521448	NP_766504
XP_011522005	NP_001093103
XP_011539620	XP_030109089
NP_996816	NP_067383
NP_001264044	NP_034190
NP_937756	NP_001074860
XP_016861618	NP_001028840
NP_001362453	XP_006504844
NP_149015	XP_006503645
NP_001361	NP_001158141
XP_024308646	XP_011238862
XP_016871599	XP_036011414
NP_061720	XP_011236933
NP_001438	XP_030101863
XP_016869458	NP_619615
NP_001352957	XP_017171732
XP_016878921	NP_001357735
NP_079350	NP_780682
XP_016869379	NP_659097
NP_150094	XP_036010291
NP_775922	NP_001357195
NP_005036	NP_035391
NP_060360	NP_796125
XP_005255239	NP_001026984
NP_055524	XP_006514628
XP_011530061	XP_030110680
XP_011541131	NP_001344478
XP_005257602	XP_006534693
XP_024306066	XP_036016298
NP_008835	NP_035289
NP_001373664	NP_031522
XP_011542334	XP_006516624
XP_006724531	XP_006527830
NP_699197	NP_073725
NP_001373103	XP_036018747
XP_011513432	NP_839990
NP_001352205	XP_006525248
NP_065872	NP_796158
NP_003449	XP_006511697
XP_011515896	XP_017175305
XP_005270743	NP_937813
NP_071407	XP_017169419
NP_653267	NP_001357732
NP_001990	NP_034311
XP_011509306	NP_001355753
NP_000375	NP_033823
NP_000129	XP_006498810
XP_006723859	XP_006500638
NP_001398	NP_001346501
NP_003728	XP_006507718
XP_016866433	NP_694819
NP_001358118	NP_001371035
NP_001354408	NP_001363968
NP_009049	NP_001074771
XP_011533736	XP_006510860
XP_011534404	XP_006512769
XP_006713873	XP_011244253
XP_011508781	XP_011236945
XP_024309756	XP_006504200
XP_006719812	XP_006504989
XP_016866340	NP_032507
NP_001365386	NP_766359
NP_001258867	NP_001153872
XP_016880204	NP_034992
NP_001371941	XP_036019004
NP_001399	NP_059088
NP_997244	NP_766450
XP_016865149	XP_030101854
XP_016873014	XP_036008945
XP_011541515	XP_006525979
NP_001035957	XP_006532499
NP_002102	NP_034544
NP_001072	NP_001074553
XP_011515855	NP_001264078
XP_016884700	XP_017173972
NP_001449	XP_036008175
XP_011524280	XP_006525748
XP_011531983	XP_006505686
XP_016879871	XP_006532664
NP_150648	NP_766616
NP_056986	XP_006520242
NP_001353106	NP_619620
NP_001104026	XP_036017750
NP_055816	XP_006539132
XP_011534330	XP_006512685
XP_011535320	XP_036013237
NP_004360	NP_001229937
XP_005264059	NP_035370
XP_011538288	XP_006519342
XP_016874755	NP_064307
XP_005272732	XP_006527652
XP_016863877	XP_036009877
NP_004406	NP_076331
NP_597677	XP_006520057
NP_000543	NP_035838
XP_016873278	XP_011240687
NP_001157789	NP_001074896
XP_011521649	XP_011246574
XP_005267559	NP_659037
XP_016856320	XP_006503239
XP_005263429	XP_006502410
NP_001365112	XP_036017142
NP_060087	NP_032740
NP_002215	XP_006523775
NP_004949	NP_064393
NP_006653	NP_001291195
NP_077719	NP_035058
NP_001365257	XP_006520442
NP_005550	NP_032506
NP_001264198	XP_017177514
XP_006712761	XP_006496095
NP_056224	XP_006535328
NP_006827	NP_766307
NP_001345164	NP_001344094
XP_024306305	NP_619600
NP_001164100	NP_963999
XP_016870485	XP_030109396
XP_011511226	NP_063917
XP_006720506	XP_006499753
NP_001341825	XP_006525592
XP_016863060	XP_006512223
XP_005246454	NP_034363
XP_005257207	XP_006532738
NP_055542	NP_001277502
XP_016883588	NP_775544
NP_000085	NP_031764
NP_001362247	XP_006497872
XP_016861499	NP_899099
NP_057368	XP_006530933
NP_055318	NP_780367
XP_006720161	XP_030102685
XP_006720780	XP_006511496
NP_115593	XP_006535350
XP_011509253	NP_780419
XP_011514973	XP_006506105
NP_006280	XP_006537831
NP_066022	XP_006540500
XP_016880042	XP_030101321
XP_016861487	NP_619613
XP_016857740	XP_017168067
NP_000426	XP_017172782
NP_001354814	XP_011241938
XP_011508493	XP_006529963
XP_016867131	XP_006503581
XP_016866048	XP_017168922
XP_011519916	XP_006511271
XP_005268859	NP_001171038
XP_011520133	XP_036018388
NP_004371	XP_006521814
NP_065741	NP_780584
XP_005264574	NP_787030
NP_001365690	NP_001365531
XP_024301921	XP_006517203
NP_997698	XP_006497672
XP_016868217	XP_006504750
XP_005245072	XP_006496829
NP_940980	NP_080006
NP_001371403	XP_006526497
NP_001316055	NP_001346669
NP_001084	XP_006530175
NP_060034	NP_619614
NP_689594	NP_001019789
NP_003096	NP_035566
NP_001420	XP_006521152
NP_061496	XP_011246988
XP_006721664	XP_017169845
NP_001138890	NP_001254551
NP_000867	NP_034645
XP_016869867	XP_006537617
XP_011519299	XP_036021959
NP_001231892	XP_006541374
NP_001373227	XP_011248998
NP_003226	XP_006520808
NP_004332	XP_006504154
NP_055495	NP_001002004
NP_116165	XP_006513098
NP_054733	NP_796188
XP_006718732	NP_067262
NP_055836	NP_038917
XP_011524424	NP_001182562
XP_011512725	XP_011245024
XP_016877205	XP_011243362
XP_011532396	XP_006518538
XP_024302187	XP_036011523
XP_005267477	NP_061284
NP_001138424	NP_766388
NP_006006	XP_006539388
NP_001020029	NP_038703
NP_005112	NP_001074400
XP_005264641	XP_006506226
XP_011537058	XP_006513589
NP_001243415	XP_006522147
XP_011521840	NP_032014
NP_000341	NP_031404
NP_000709	XP_006497689
NP_001354490	XP_006503371
NP_001019554	NP_001074504
XP_011543348	XP_011239990
XP_011536382	NP_001334374
NP_477352	NP_001360884
XP_011533097	NP_035262
XP_016876613	XP_017170500
XP_011533696	NP_932124
XP_005264971	XP_011241171
XP_006719985	XP_006518407
NP_005900	NP_032660
XP_005262425	XP_006541469
NP_075461	XP_006530650
NP_001291477	NP_001355647
XP_011531934	XP_036010808
XP_016874762	NP_001357916
NP_056993	XP_006515278
NP_002364	NP_115769
NP_006303	XP_030110130
XP_011541219	NP_001074739
XP_005269750	XP_006527057
NP_005111	NP_067496
NP_001136336	NP_001344278
XP_016861165	XP_030108506
XP_016859930	XP_006496526
NP_689957	NP_808547
NP_065073	NP_001028430
XP_016875415	XP_036021663
NP_001371661	XP_011243637
XP_016877788	XP_036018336
XP_024301812	XP_017171016
NP_001278253	XP_011247353
XP_011522899	XP_006534535
XP_016859587	XP_036012546
NP_001380	XP_006522949
NP_060606	NP_033921
XP_011509080	XP_006495839
XP_005256484	XP_017169944
XP_005268084	NP_033377
NP_002449	NP_083077
NP_002325	NP_766256
NP_066919	XP_006521012
XP_011534830	NP_001074660
NP_001888	NP_620570
NP_001361757	XP_006523284
XP_016877711	XP_006510992
NP_003283	NP_598541
NP_003881	NP_001116075
XP_006717948	XP_006527457
XP_011525315	NP_001029287
NP_005119	XP_011244446
XP_011534351	XP_011241449
XP_016867448	XP_006504790
NP_001274418	XP_006504269
XP_024308994	XP_036016722
XP_016868308	XP_006515148
NP_061897	NP_001074648
XP_006717045	XP_006527207
XP_011543326	XP_006531675
XP_016878673	NP_001074848
NP_000928	NP_001277997
NP_982272	NP_083061
NP_001159435	NP_001300926
XP_024307952	NP_766137
XP_011536085	XP_006530195
XP_005260057	XP_017168915
NP_036466	NP_062345
XP_016870448	XP_036019731
NP_060506	XP_006516423
XP_005250743	NP_786926
XP_016870167	NP_001356140
XP_006721026	XP_006524796
NP_004376	NP_001074718
NP_001376546	XP_006529433
NP_001265227	XP_030100352
NP_001035232	NP_001333608
XP_006719591	XP_036011586
NP_001317189	XP_017172003
NP_891550	NP_780523
XP_011508218	NP_035595
XP_011530467	NP_035334
NP_000480	NP_033556
