NP_001254479	XP_023416909
NP_001258137	XP_023416857
XP_016866098	XP_013006515
NP_001373054	XP_023416271
NP_114141	XP_013013321
XP_016865452	XP_023417192
XP_011539410	XP_013009299
XP_016876590	XP_013010648
XP_011537072	XP_013014576
XP_006711865	XP_023422283
NP_055426	XP_003467493
XP_016874792	XP_013014538
NP_001027	XP_023423253
NP_001367	XP_003463142
XP_006719842	XP_012996758
NP_004658	XP_013003426
NP_001278232	XP_013015528
XP_005264507	XP_023422119
XP_011530622	XP_023416125
NP_001193856	XP_023422402
NP_036222	XP_023416747
XP_016878188	XP_023416373
NP_000531	XP_013005180
XP_005262892	XP_023420586
XP_005266395	XP_003477292
NP_001278744	XP_013008873
NP_996816	XP_003474286
XP_011523718	XP_003464827
XP_016867969	XP_023420832
XP_016866694	XP_023417506
NP_061027	XP_023416810
NP_004516	XP_012998019
NP_001359035	XP_013000190
NP_001073932	XP_003472579
NP_001264044	XP_013007889
XP_005251033	XP_013001192
XP_011521448	XP_023421731
XP_011539620	XP_013009325
XP_024306373	XP_013004109
XP_005248319	XP_023419519
XP_011522005	XP_003466369
XP_016884680	XP_023417156
XP_016861618	XP_012999389
NP_056193	XP_023421560
NP_001103132	XP_023417792
NP_001362453	XP_003470071
NP_001361	XP_023420525
NP_001438	XP_003464523
NP_061720	XP_023417973
NP_060360	XP_003479926
XP_016869458	XP_023417480
XP_016878921	XP_023416459
NP_001352957	XP_012999229
XP_024308646	XP_013009239
NP_775922	XP_023416906
XP_005255239	XP_023416550
NP_079350	XP_012996732
NP_005036	XP_023420852
NP_149015	XP_023420855
NP_055524	XP_023419860
NP_008835	XP_013003920
XP_011530061	XP_005003510
XP_024306066	XP_003478161
NP_653267	XP_023418868
XP_016872668	XP_023420350
NP_699197	XP_023418174
NP_001373664	XP_005004685
NP_150094	XP_012998773
XP_005257602	XP_013002597
NP_000375	XP_003473207
XP_011542334	XP_013011729
XP_006724531	XP_013002422
XP_005270743	XP_005000276
NP_071407	XP_003473816
NP_001354408	XP_023420465
NP_001373103	XP_023420115
XP_006723859	XP_013000023
NP_000129	XP_003471907
NP_001990	XP_005007146
XP_011509306	XP_003474521
XP_016866433	XP_023422872
NP_003449	XP_003476499
NP_003728	XP_003465293
XP_011513432	XP_013000855
NP_001398	XP_013015196
XP_016866340	XP_013006497
XP_011534404	XP_023419012
XP_011515896	XP_005008520
NP_009049	XP_005002365
XP_006719812	XP_012996426
XP_006713873	XP_023418367
NP_001072	XP_023417709
XP_024309756	XP_023421623
XP_011533736	XP_003477950
NP_001258867	XP_003464586
NP_001399	XP_003479250
XP_011508781	XP_013001614
NP_055816	XP_003471222
NP_997244	XP_023416197
XP_016867131	XP_023423032
XP_011515855	XP_003464442
XP_016873014	XP_023420376
NP_001352205	XP_013012165
NP_001365386	XP_013010075
NP_002102	XP_013013172
XP_016863877	XP_023420595
XP_016880204	XP_013003738
NP_001449	XP_013013800
XP_011531983	XP_013011793
NP_001353106	XP_003475662
NP_001035957	XP_023420723
XP_016879871	XP_013007495
XP_016873278	XP_023417310
NP_001104026	XP_005000102
XP_016865149	XP_023422204
XP_011521649	XP_012996825
XP_005264059	XP_013009775
XP_011541515	XP_023422215
NP_004360	XP_013012874
XP_016884700	XP_013003436
XP_016874755	XP_003470503
XP_011538288	XP_013004069
NP_001157789	XP_003480129
NP_006653	XP_012997047
NP_150648	XP_013010478
XP_016869379	XP_003463776
NP_000543	XP_013000551
NP_004406	XP_003468876
NP_004949	XP_003471252
XP_005272732	XP_013007354
NP_002215	XP_013012166
XP_016863060	XP_003473437
NP_077719	XP_012998184
NP_001264198	XP_013003485
NP_597677	XP_005003854
XP_005263429	XP_013015628
XP_011535320	XP_023417655
NP_006827	XP_003478419
XP_011520133	XP_023423298
NP_001341825	XP_005008062
XP_005267559	XP_023418637
NP_001164100	XP_003474567
XP_016883588	XP_003467708
XP_011534330	XP_023419436
XP_024306305	XP_003469727
