NP_001254479	XP_039326040
XP_016866098	XP_039323758
NP_001373054	XP_039320262
XP_016866694	XP_039323907
NP_001258137	XP_039325515
XP_016876590	XP_039324586
XP_016865452	XP_003920809
NP_114141	XP_039316021
NP_775922	XP_039325869
NP_001611	XP_039326483
NP_055426	XP_003922977
NP_996816	XP_003930400
XP_011537072	XP_039328427
XP_011539410	XP_010343821
XP_011530622	XP_039335016
NP_001139669	XP_003928335
XP_006711865	XP_039320143
NP_000531	XP_039321456
NP_061027	XP_003922046
NP_001278232	XP_010336662
XP_016874792	XP_003926506
NP_001027	XP_010344564
XP_016878188	XP_003939923
NP_004516	XP_039325943
NP_004658	XP_039335784
XP_005264507	XP_039331259
XP_011521448	XP_039317136
NP_001278744	XP_039317413
XP_006719842	XP_039329088
XP_016867969	XP_039328542
NP_001367	XP_039318711
NP_775871	XP_039328195
NP_001193856	XP_039323452
NP_036222	XP_039330487
NP_149015	XP_039328938
XP_011513432	XP_039318026
XP_016872668	XP_039318235
XP_005248319	XP_003932539
NP_001359035	XP_039327853
NP_001103132	XP_039327665
XP_005262892	XP_039324107
XP_011539620	XP_039330086
NP_001264044	XP_039328663
XP_011523718	XP_039332256
NP_056193	XP_039329694
XP_011522005	XP_039332279
XP_005257602	XP_039332986
XP_024306373	XP_010338105
NP_001354408	XP_039320135
NP_001073932	XP_003923813
NP_001438	XP_039326783
XP_016884680	XP_039331247
XP_005251033	XP_039320286
NP_612429	XP_039318714
XP_016869458	XP_003938633
XP_016861618	XP_010345360
NP_653267	XP_010335965
NP_001352205	XP_039321462
NP_079350	XP_039324067
NP_000375	XP_039336047
NP_001361	XP_039318214
NP_061720	XP_003925756
NP_008835	XP_003940914
NP_937756	XP_003933168
NP_060360	XP_003943078
XP_016878921	XP_039333715
XP_024306066	XP_039334008
NP_001352957	XP_039333267
NP_001362453	XP_010343085
XP_011520133	XP_039324708
NP_001358118	XP_039330708
XP_016866433	XP_039323833
XP_024308646	XP_039330241
NP_001373103	XP_039323941
NP_150094	XP_003940755
XP_011541131	XP_039326242
NP_699197	XP_003925288
XP_011542334	XP_039320212
NP_005036	XP_039328848
NP_001072	XP_003930687
XP_005255239	XP_039334310
NP_065872	XP_039324825
NP_055524	XP_039332206
XP_011530061	XP_010333060
XP_006723859	XP_039335159
NP_002449	XP_039326295
XP_006724531	XP_039331321
XP_016869379	XP_039320659
NP_055935	XP_039317017
NP_001291288	XP_039326296
NP_001373664	XP_039334153
XP_011515896	XP_003940747
XP_005270743	XP_003936998
NP_003449	XP_039333544
XP_016867131	XP_003921243
XP_016880204	XP_039332144
NP_001398	XP_010335377
NP_055816	XP_039329491
NP_001990	XP_003920685
XP_011534404	XP_003926891
XP_011524280	XP_039319580
NP_003728	XP_039326697
NP_705838	XP_039325163
XP_011509306	XP_003925640
NP_000129	XP_039325208
XP_016866340	XP_003932467
NP_001345164	XP_039335054
XP_011508781	XP_003925538
NP_997244	XP_003934450
NP_689594	XP_010350711
XP_011533736	XP_010335386
NP_001365386	XP_039325020
NP_060606	NP_001266913
XP_011538288	XP_003930026
NP_150648	XP_010339580
XP_005264059	XP_003922812
NP_001278938	XP_039323702
NP_009049	XP_039329988
XP_011541515	XP_003920722
NP_002102	XP_039324056
XP_016877788	XP_039318808
XP_011534330	XP_039320904
