NP_001254479	XP_038303118
XP_016866098	XP_038510389
NP_001258137	XP_038282234
XP_016866694	XP_038539737
NP_001373054	XP_038541974
XP_016865452	XP_038516760
NP_114141	XP_038527070
XP_016876590	XP_038528925
NP_001611	XP_038281261
XP_011539410	XP_038516068
XP_011530622	XP_038281767
NP_055426	XP_038540098
XP_006711865	XP_038518368
XP_011537072	XP_038294213
XP_016874792	XP_038534997
NP_000531	XP_038513004
NP_061027	XP_038282118
NP_001278232	XP_038281733
XP_016878188	XP_038298496
XP_006719842	XP_038287139
NP_004658	XP_038517001
NP_001027	XP_038297728
NP_001367	XP_038530598
NP_996816	XP_038304692
XP_005266395	XP_038291000
XP_016872668	XP_038285717
XP_005264507	XP_038546503
NP_001278744	XP_038531073
NP_001193856	XP_038538772
NP_775922	XP_038303198
NP_001103132	XP_038292656
XP_005262892	XP_038546056
XP_011539620	XP_038515919
XP_011521448	XP_038523047
XP_005248319	XP_038301400
XP_011523718	XP_038531483
XP_016884680	XP_038306019
NP_004516	XP_038302905
XP_024306373	XP_038521374
NP_056193	XP_038513842
NP_001359035	XP_038292329
NP_001264044	XP_038542632
XP_011522005	XP_038521538
XP_016861618	XP_038283492
NP_937756	XP_038540808
XP_016871599	XP_038518542
NP_149015	XP_038279858
NP_001362453	XP_038524158
XP_016869458	XP_038540795
NP_001073932	XP_038523427
XP_005251033	XP_038541221
NP_001361	XP_038547491
NP_079350	XP_038299843
NP_061720	XP_038303381
NP_001352957	XP_038283350
NP_060360	XP_038540603
XP_016878921	XP_038526379
XP_024308646	XP_038543229
NP_150094	XP_038546302
NP_653267	XP_038286292
NP_005036	XP_038279784
XP_011541131	XP_038520663
XP_005255239	XP_038524985
NP_055524	XP_038536613
XP_011530061	XP_038299951
NP_001438	XP_038519511
NP_001354408	XP_038527631
NP_008835	NP_001006652
XP_024306066	XP_038523564
NP_001373103	XP_038300353
XP_011542334	XP_038518390
NP_699197	XP_038538349
XP_006724531	XP_038304802
NP_001373664	XP_038523118
XP_005257602	XP_038531415
NP_000375	XP_038546744
XP_016866433	XP_038539680
NP_065872	XP_038298447
XP_011515896	XP_038297363
NP_001072	NP_001003148
XP_005270743	XP_038543902
NP_071407	XP_038518775
NP_001990	XP_038537344
XP_011509306	XP_038303748
NP_001352205	XP_038539004
NP_003449	XP_038282558
NP_000129	NP_001274014
XP_006723859	XP_038290209
NP_001398	XP_038283782
XP_016867969	XP_038546315
NP_003728	XP_038286296
XP_011513432	XP_038279497
XP_011534404	XP_038509370
XP_016867131	XP_038542316
XP_016880204	XP_038521717
XP_011533736	XP_038539900
NP_055816	XP_038516167
NP_001365386	XP_038298260
XP_011541515	XP_038537151
XP_024309756	XP_038541511
XP_016869379	XP_038541220
NP_009049	XP_038301389
XP_005264059	XP_038536053
XP_016866340	XP_038510783
NP_997244	XP_038290673
XP_011508781	NP_001166949
NP_001399	XP_038525819
NP_001258867	XP_038512740
XP_011524280	XP_038528377
XP_011534330	XP_038540311
NP_150648	XP_038511078
NP_001035957	XP_038533339
XP_011520133	XP_038298022
XP_016873014	XP_038285881
NP_002102	XP_038517621
XP_011515855	XP_038297165
XP_016884700	XP_038306745
XP_016882868	XP_038284740
NP_612429	XP_038528943
NP_001371941	XP_038290790
NP_004360	XP_038290439
XP_016863877	XP_038546206
XP_016873278	NP_001124300
NP_006653	XP_038524525
NP_001449	XP_038542119
NP_001353106	XP_038527854
XP_011521649	XP_038515281
XP_006719812	XP_038290593
XP_011538288	XP_038295680
NP_056986	XP_038540678
XP_011531983	XP_038283005
XP_016865149	XP_038519341
NP_001345164	XP_038544607
XP_005257207	XP_038531968
NP_060606	NP_001184005
NP_001104026	XP_038307203
NP_000543	XP_038293652
NP_001157789	XP_038283286
XP_016874755	XP_038294607
XP_016863060	XP_038287744
NP_005550	XP_038528556
NP_597677	XP_038519833
XP_006720506	XP_038297976
XP_011535320	XP_038530423
NP_004406	XP_038302251
XP_005263429	XP_038544515
XP_006712761	XP_038303567
XP_016879871	XP_038521048
NP_077719	XP_038278797
NP_001264198	XP_038285467
XP_005267559	XP_038529251
NP_001365112	XP_038528610
NP_001365690	XP_038520540
XP_011508493	XP_038526938
XP_016856320	XP_038522055
NP_002215	XP_038539145
NP_060087	XP_038533902
NP_001341825	XP_038516546
NP_001278938	XP_038539792
XP_011511226	XP_038288489
NP_006827	XP_038292833
NP_001354814	XP_038544222
NP_055836	XP_038540032
NP_000085	XP_038282274
NP_001164100	XP_038543988
