NP_001254479	XP_030864472
NP_001258137	XP_030864330
NP_001373054	XP_030856475
XP_016866098	XP_018884798
NP_001139669	XP_018895516
XP_016876590	XP_030857361
NP_775922	XP_018878390
NP_775871	XP_030856853
XP_016865452	XP_018883336
NP_001611	XP_030872170
NP_055426	XP_018885029
NP_996816	XP_030871467
XP_011537072	XP_018894141
XP_005257602	XP_018882703
XP_011539410	XP_018867357
XP_011530622	XP_018881012
XP_011521448	XP_030858863
NP_612429	XP_030857564
NP_004516	XP_030864538
XP_006711865	XP_030857182
NP_001278232	XP_018881565
NP_061027	XP_030864664
XP_011513432	XP_030868906
NP_001027	XP_004055960
NP_004658	XP_030857924
NP_002449	XP_030871660
XP_016878188	XP_030858307
XP_016866694	XP_030868371
XP_005264507	XP_018876759
NP_149015	XP_018887082
NP_653267	XP_030863493
NP_001193856	XP_018885793
XP_006719842	XP_018895156
XP_005266395	XP_004054297
NP_001367	XP_018865200
XP_005248319	XP_018868560
XP_005262892	XP_030865941
NP_001359035	XP_018894003
NP_036222	XP_018871352
XP_011520133	XP_030858183
NP_001264044	XP_018887106
XP_011522005	XP_030859204
XP_011539620	XP_030867103
NP_000375	XP_004028957
XP_024306373	XP_030859387
NP_001438	XP_004042901
NP_001103132	XP_030856990
NP_056193	XP_030863003
XP_016869458	XP_018888378
NP_001352205	XP_030868414
NP_001073932	XP_030872141
XP_005251033	XP_030869845
XP_016861618	XP_018878874
NP_003881	XP_030860172
NP_001358118	XP_030870463
NP_001361	XP_004029568
NP_079350	XP_004038919
XP_016884680	XP_030861946
XP_016871599	XP_004049497
XP_016878921	XP_018868309
XP_016866433	XP_030868334
NP_008835	XP_030869465
NP_061720	XP_004033032
NP_060360	XP_030869498
XP_011523718	XP_030867640
NP_001352957	XP_030865220
NP_937756	XP_018888468
NP_055935	XP_030863865
NP_001278744	XP_030870780
NP_699197	XP_004048477
NP_001362453	XP_030868526
NP_001072	XP_030871268
XP_024308646	XP_030858891
XP_011541131	XP_018891759
NP_001373103	XP_018880944
NP_001354553	XP_030858747
XP_011542334	XP_030857071
NP_705838	XP_004058694
NP_005036	XP_030868889
NP_065872	XP_030858110
NP_003449	XP_030865158
NP_055524	XP_030864249
XP_011530061	XP_030866020
XP_005255239	XP_030862975
XP_016867131	XP_018886643
XP_016867969	XP_030868739
NP_001373664	XP_004058017
XP_016880204	XP_030866901
XP_011515896	XP_018888369
XP_005270743	XP_018872391
XP_011524280	XP_030859611
XP_006724531	XP_018874979
NP_000531	XP_030860244
NP_055816	XP_004024776
XP_016872668	XP_030871966
NP_689594	XP_018878352
XP_016869379	XP_030869882
NP_001398	XP_018878854
NP_001345164	XP_030866425
NP_000050	XP_018895519
NP_060606	XP_018878054
XP_016866340	XP_030868009
NP_150094	XP_030869595
XP_011534404	XP_018885219
NP_071407	XP_030871596
NP_001990	XP_030867127
NP_003728	XP_004050645
NP_004376	XP_004042290
XP_011509306	XP_030864599
NP_001357633	XP_030858838
NP_001291477	XP_018874546
NP_000129	XP_018866587
XP_011538288	XP_018891019
XP_005264059	XP_030863797
NP_005550	XP_018869799
NP_997244	XP_030857297
XP_011508781	XP_030864290
NP_150648	XP_018889453
NP_004360	XP_018878003
NP_001365386	XP_018866660
XP_011534330	XP_030867777
XP_016873278	XP_030871796
XP_011541515	XP_018883755
XP_011533736	XP_004044346
NP_001337091	XP_018887426
NP_002102	XP_030865871
NP_002408	XP_030871215
NP_009049	XP_030859026
NP_001354814	XP_030856858
NP_001264198	XP_018891518
NP_002007	XP_030858012
XP_024309756	XP_018881222
XP_006717045	XP_018889400
NP_000543	XP_030872518
NP_006653	XP_030858492
XP_016863060	XP_018879832
XP_006713873	XP_030864904
XP_016882868	XP_030860050
NP_001399	XP_030863636
XP_006720506	XP_030863655
XP_006719812	XP_030857159
XP_011508493	XP_030868677
XP_011527896	XP_030860981
XP_016879871	XP_018869060
XP_011515855	XP_030869623
XP_005257207	XP_030866757
NP_001371941	XP_030857077
NP_001353106	XP_030866563
NP_001243415	XP_030864930
NP_056224	XP_018894113
XP_024306066	XP_030863257
XP_016867287	XP_030869127
NP_001296171	XP_030867387
XP_016865149	XP_004043008
NP_722576	XP_030861919
NP_003226	XP_030869909
XP_005263429	XP_030866045
XP_016855575	XP_030871034
XP_011521649	XP_018868187
NP_001449	XP_018886633
NP_056234	XP_004063791
NP_001365112	XP_030859639
NP_001035957	XP_018882453
NP_705833	XP_030865160
XP_016863877	XP_018881329
NP_003377	XP_030868926
XP_011512129	XP_018881173
XP_016861487	XP_018878791
XP_011535320	XP_018865135
XP_016868217	XP_030868623
XP_011531983	XP_018879255
XP_024303525	XP_018890592
