NP_001254479	XP_024099690
NP_001258137	XP_024098922
NP_001373054	XP_024088469
XP_016866098	XP_024104980
XP_016876590	XP_024087128
NP_001139669	XP_009247041
NP_775922	XP_024099266
XP_016865452	XP_024103036
NP_078966	XP_024092679
NP_775871	XP_024112904
NP_114141	XP_002809737
NP_001611	XP_024110848
NP_055426	XP_024104426
NP_996816	XP_024095075
XP_011537072	XP_024112209
XP_011539410	XP_024106903
XP_011521448	XP_024089778
NP_004516	XP_024099098
NP_000531	XP_024093680
XP_006711865	XP_024091969
NP_001278232	XP_024101937
NP_061027	XP_024099585
XP_011530622	XP_024101653
XP_016874792	XP_024112522
NP_001027	XP_024088409
XP_005257602	XP_024090645
XP_011513432	XP_024105558
NP_004658	XP_024088722
XP_016878188	XP_024088728
XP_005264507	XP_024097922
XP_006719842	XP_024086557
XP_016869379	XP_024106960
NP_001193856	XP_024103996
NP_149015	XP_024105578
NP_001367	XP_024087564
XP_005266395	XP_002824122
NP_653267	XP_024110543
XP_016872668	XP_024111365
XP_005248319	XP_024103279
NP_036222	XP_009250427
XP_005262892	XP_009238794
NP_001264044	XP_024105598
XP_011539620	XP_024106408
XP_011522005	XP_024091279
XP_011523718	XP_024090606
NP_001359035	XP_024113289
NP_000375	XP_024098385
XP_011520133	XP_024088483
NP_001103132	XP_024112393
NP_001438	XP_024103117
NP_056193	XP_024108657
NP_001354408	XP_024107558
NP_001291288	XP_024111503
XP_024306373	XP_024090911
NP_001352205	XP_024104015
XP_005251033	XP_024106536
XP_016861618	XP_009237211
XP_016869458	XP_024106628
NP_003881	XP_024093920
XP_016867969	XP_024105243
NP_001361	XP_024098033
XP_016884680	XP_024096154
XP_016871599	XP_024108965
NP_008835	XP_024106793
NP_079350	XP_024101467
XP_016878921	XP_024097187
NP_612429	XP_024087311
XP_016866433	XP_024104185
NP_061720	XP_024099101
NP_060360	XP_024106734
NP_937756	XP_024106837
NP_001352957	XP_024100504
NP_055935	XP_002811934
NP_001362453	XP_009240826
NP_699197	XP_024107811
XP_024306066	XP_024089797
XP_024308646	XP_024091083
XP_011541131	XP_024111040
NP_001072	XP_024109836
NP_150094	XP_024107197
NP_002448	XP_024111057
XP_011542334	XP_024108751
NP_005036	XP_024106125
NP_001373103	XP_024101534
NP_001354553	XP_024089816
NP_003449	XP_009237281
NP_705838	XP_002815734
XP_005255239	XP_024097149
NP_065872	XP_002825562
NP_055524	XP_024097798
XP_011530061	XP_024101714
XP_006724531	XP_024096075
NP_001373664	XP_009249157
XP_011515896	XP_024107030
XP_005270743	XP_024107542
XP_016880204	XP_024090662
XP_016867131	XP_024105258
NP_055816	XP_002811483
NP_071407	XP_024110111
NP_001398	XP_024100414
XP_011524280	XP_024091751
NP_689594	XP_024099618
XP_016877788	XP_009248031
NP_060606	XP_024109889
XP_011534404	XP_024103600
NP_001990	XP_024102746
NP_001345164	XP_024102167
NP_003728	XP_024111637
NP_004376	XP_002815763
NP_000050	XP_024086835
NP_000129	XP_024088047
XP_011509306	XP_002812847
NP_001291477	XP_024096483
XP_016866340	XP_024104095
NP_997244	XP_024086666
XP_011538288	XP_024109991
XP_011508781	XP_024099552
NP_005550	XP_024091886
NP_150648	XP_024108199
NP_001365386	XP_024088466
XP_016882868	XP_024093997
NP_004360	XP_024099626
NP_001371661	XP_024103167
XP_011533736	XP_024103985
XP_011541515	XP_024102696
XP_016873278	XP_024110828
XP_011534330	XP_024104747
NP_002102	XP_024101641
NP_001354814	XP_024112749
NP_009049	XP_024103441
XP_024309756	XP_024101805
NP_001365257	XP_024095928
XP_016863060	XP_024100732
NP_001258867	XP_024092903
NP_001264198	XP_024111264
NP_000543	NP_001233206
XP_006719812	XP_024086716
XP_006720506	XP_024088112
NP_001337091	XP_003777281
XP_006713873	XP_024100766
