NP_001254479	XP_040559534
XP_016866098	XP_040553272
NP_001258137	XP_040560353
XP_016866694	XP_015140347
XP_011539410	XP_040507305
XP_006711865	XP_040554188
XP_011530622	XP_004941274
XP_016878188	XP_040562711
NP_001367	XP_015143281
NP_004658	XP_015133197
XP_006719842	XP_015132699
XP_005264507	XP_040554472
NP_061027	XP_015145376
NP_114141	XP_025008796
NP_001027	XP_040556645
XP_016874792	NP_990573
NP_001278232	XP_015131875
XP_016865452	XP_015136037
NP_001373054	XP_040551458
NP_001103132	XP_040504368
XP_016872668	XP_040559587
XP_005266395	XP_004938853
XP_005262892	XP_015141046
NP_001193856	XP_040553568
NP_004516	XP_040560089
NP_055426	XP_419835
NP_937756	XP_040551776
NP_001362453	XP_040503611
NP_996816	XP_015139379
NP_036222	XP_015153354
XP_005248319	XP_040551695
NP_056193	XP_040507327
NP_000531	XP_040511030
XP_016867969	XP_015136704
XP_011523718	XP_040505799
XP_011522005	XP_415585
NP_001073932	XP_417173
NP_150094	XP_015140406
XP_005255239	XP_414907
NP_005036	XP_040557195
NP_001359035	XP_040504308
NP_055524	XP_025004381
XP_011530061	XP_015131952
XP_016871599	XP_040558227
XP_024308646	XP_015153311
NP_060360	XP_040551850
NP_061720	XP_003641622
XP_016861618	XP_040502450
XP_011515896	XP_004939974
NP_001352957	XP_015148869
XP_016878921	XP_040503744
NP_001373664	XP_040562942
NP_001990	XP_424715
XP_016876590	XP_015143368
XP_011509306	XP_025008478
NP_001611	XP_040512954
NP_149015	XP_015155598
NP_079350	XP_420470
XP_011541131	XP_024999110
NP_008835	NP_989989
NP_009049	XP_015137712
NP_000129	XP_015147420
NP_699197	XP_015136185
NP_001371941	XP_040560185
XP_006724531	NP_990630
XP_006719812	XP_025002600
XP_024309756	XP_015140979
XP_006713873	XP_015145460
NP_001438	XP_414584
XP_011542334	XP_015139902
XP_016863877	NP_001185466
XP_016865149	XP_015149053
XP_016873014	XP_040502841
NP_001035957	XP_040506487
NP_071407	XP_421595
XP_011515855	NP_001071054
NP_056986	XP_040552307
NP_001365386	XP_040562431
XP_011521448	NP_001152843
XP_016884700	XP_015133675
XP_011539620	XP_015152746
XP_011531983	XP_040502009
NP_002102	XP_420822
XP_011534404	XP_004935636
NP_065872	XP_001233000
XP_011533736	NP_990352
XP_005272732	XP_015157219
XP_016874755	XP_015146920
XP_005257602	XP_040505443
XP_011535320	XP_004941940
NP_004949	XP_417614
NP_997244	XP_417087
XP_005267559	XP_040558091
XP_011537072	XP_025001250
XP_024306305	XP_415805
NP_001157789	XP_015148423
XP_016866340	XP_015139613
XP_016856320	XP_015146673
XP_011541515	XP_015136164
XP_011521649	XP_015147862
NP_002215	XP_015154473
XP_006723859	XP_015152145
NP_001362247	XP_015134773
NP_001072	XP_040551453
NP_057368	XP_015134592
NP_597677	NP_001244277
NP_001353106	XP_015154138
XP_006720780	XP_040562727
NP_000375	NP_001038098
XP_005251033	XP_040551957
NP_060087	NP_001025466
NP_006827	XP_015130883
NP_001365112	XP_040552585
XP_005263429	XP_015132159
XP_024306066	XP_414854
NP_001341825	XP_040511633
XP_016880042	XP_015151183
XP_006712761	XP_004942729
XP_005264574	XP_040552917
NP_001398	XP_025010386
XP_011534330	XP_015140065
XP_016879871	NP_001376459
NP_115593	XP_004941238
NP_005550	NP_001186735
NP_001138890	XP_015130973
XP_016866048	XP_015140204
XP_016873278	XP_015133057
NP_055816	XP_040507392
XP_006720161	XP_015142856
NP_001316055	XP_004939502
NP_006280	XP_040511271
XP_005246454	NP_001185641
NP_054733	XP_040507491
NP_004406	XP_418957
XP_016870485	NP_001376574
NP_150648	XP_015135756
NP_065741	XP_015148996
XP_005270743	NP_001264695
NP_001365257	XP_040526552
NP_004371	XP_015150108
XP_011511226	XP_015132446
NP_001354490	XP_040561105
NP_001104026	NP_989905
NP_001399	XP_015154265
NP_077719	NP_001238962
XP_006721664	XP_415843
NP_001449	NP_989904
XP_005267477	XP_015143057
NP_477352	XP_004945537
NP_001231892	XP_004941374
NP_001420	XP_004937767
NP_997698	XP_015135093
XP_011524280	XP_015133466
NP_005112	XP_040506438
XP_011536382	XP_015150354
NP_001138424	NP_989869
XP_016859587	XP_004940182
XP_006719985	XP_004938626
XP_016869867	NP_989476
XP_016866433	XP_040553919
NP_001084	XP_040504417
XP_011522899	XP_015154864
NP_004360	XP_040559308
NP_056224	XP_040504257
NP_116165	XP_015143586
XP_011533097	XP_001233985
NP_001380	XP_416734
XP_016857740	XP_040560953
NP_001019554	XP_015137329
XP_005264971	XP_040502412
XP_011541219	XP_003642660
XP_011534830	XP_421310
XP_011543348	XP_040560594
XP_005257207	XP_015135446
XP_024308994	XP_015132454
XP_011532396	XP_040502035
NP_055318	XP_004937716
NP_061897	XP_015139236
XP_016875415	XP_040507906
NP_001365690	NP_990204
NP_001373103	XP_040555276
XP_011533696	NP_001292140
XP_016883588	XP_024998140
XP_016870448	XP_040511674
XP_005264059	XP_040518434
XP_011519916	XP_040562498
NP_003096	XP_015153447
XP_016867131	NP_997062
XP_016874762	XP_040523437
XP_016861165	XP_040561899
NP_003728	XP_040562177
NP_003449	XP_040502454
XP_016868308	XP_004937601
XP_016859930	XP_015132492
NP_940980	NP_001274122
NP_002325	XP_004941641
XP_016867448	XP_015149816
NP_055495	XP_415819
NP_001317189	XP_040510751
XP_011538288	XP_015143911
NP_004332	XP_015140475
XP_005250743	XP_040519855
NP_055950	XP_416176
NP_689957	NP_989436
XP_011536085	XP_004934458
NP_065073	XP_025004942
NP_001035232	XP_040559277
NP_036466	XP_040551531
XP_005268859	XP_015138776
NP_060034	XP_040514194
XP_011524424	XP_004949102
NP_803187	NP_001035555
NP_001361757	XP_015139716
XP_011522177	NP_990805
XP_011509080	XP_040559599
NP_055836	XP_419852
NP_001159435	XP_003641634
XP_005269750	XP_040559022
NP_056993	XP_015131581
NP_000543	XP_040556383
XP_005262425	XP_015133927
NP_000709	XP_015134747
NP_060506	XP_040557985
NP_006006	XP_417693
NP_001364472	XP_040558497
NP_001008938	XP_040556860
XP_016877711	XP_040562853
NP_005111	XP_015133895
NP_002841	XP_040509426
NP_003283	XP_004943365
NP_006412	XP_040546999
XP_005273221	XP_040508904
NP_982272	XP_040512199
NP_115618	XP_015148852
XP_011521840	NP_990486
XP_005264641	XP_025005634
NP_001264	XP_040504409
XP_024302187	XP_015139687
NP_001352881	XP_040507266
NP_002464	XP_040527622
NP_056372	XP_024998451
NP_001274418	XP_015140687
XP_011508493	XP_015145979
XP_011531007	XP_040552924
NP_001275582	XP_015151149
XP_006722059	XP_015150763
NP_002462	XP_040513028
XP_005245072	XP_025008824
NP_003963	XP_015144314
XP_006722277	XP_003642394
XP_011540175	XP_040561289
NP_005119	NP_001376328
XP_005246356	XP_015145153
NP_000341	XP_015146189
XP_016863060	XP_004939564
XP_024305104	XP_040509895
XP_011530467	XP_015131984
XP_016877839	XP_040562330
XP_016861499	XP_025004051
NP_891550	XP_004944721
XP_011513432	XP_040551942
NP_001373268	XP_015141866
NP_001035203	NP_990605
NP_066919	XP_040525094
NP_001366560	XP_040561772
NP_079216	XP_004947614
XP_016878673	XP_040563138
NP_005954	XP_001231409
NP_001369277	NP_990631
NP_056288	XP_015143112
XP_011509935	XP_419303
XP_011520314	XP_040562303
NP_001136336	XP_015148150
XP_016877280	XP_015142898
NP_036462	XP_015143787
XP_011508781	XP_015145584
XP_016880467	XP_015151562
XP_016874530	XP_015136964
NP_005900	XP_004937428
NP_061496	XP_040505818
XP_011512740	XP_004935399
NP_001155973	XP_040525078
NP_002327	XP_015146392
NP_060482	XP_003641032
XP_024308593	XP_025007888
XP_011523944	XP_015133437
NP_000480	XP_420305
NP_006303	XP_040504284
XP_011517730	XP_040551678
NP_001351860	NP_001376380
NP_000084	NP_990121
NP_001333694	XP_040506375
NP_060404	XP_040553666
NP_003226	NP_001376406
XP_024307952	XP_025011292
NP_001374479	XP_015138994
XP_005262352	NP_001369134
XP_006717948	XP_040559014
NP_004937	XP_425184
NP_001036068	XP_004937981
XP_011542959	XP_424402
XP_016876668	NP_001186619
XP_016881477	XP_025003653
XP_016866367	XP_015139830
XP_016855823	XP_001231624
NP_000867	NP_990301
XP_024310112	NP_990272
NP_006411	XP_417388
NP_001262	XP_040562272
XP_006719591	XP_040525427
NP_056311	XP_418337
NP_001138462	XP_015141164
NP_001353076	XP_015135815
XP_016867690	XP_415943
XP_024309019	XP_004935823
XP_016883917	XP_040522294
XP_016862217	XP_040502047
XP_006723661	XP_040553687
XP_006718110	XP_015143946
XP_005248268	XP_025005218
XP_006721026	XP_015149910
XP_011532279	XP_004938402
XP_005263415	XP_004940966
XP_016870167	XP_040504901
NP_001371747	XP_040505303
NP_001293018	XP_040552499
XP_011509253	XP_015144789
NP_056019	XP_040551399
NP_001335658	XP_040554438
NP_060606	XP_025009015
XP_011516365	XP_004949181
NP_055873	XP_425624
XP_011543331	NP_001012915
XP_016869811	XP_004949159
XP_024301812	XP_015133103
XP_024305999	XP_015149974
XP_011542792	XP_015152875
NP_001695	XP_419892
NP_001264198	XP_025007058
XP_016880204	XP_040503498
NP_071396	XP_040552391
NP_056477	XP_015140492
XP_005273269	XP_419564
NP_079146	XP_418285
XP_011522064	XP_025011120
NP_001376546	XP_040508691
NP_056169	XP_015134969
NP_694984	XP_015134010
XP_011509772	XP_025008219
NP_001164100	XP_040512748
XP_011531934	XP_015136611
NP_775873	XP_004949780
NP_001092874	XP_040531867
NP_061152	XP_025009328
XP_016876613	XP_004941772
NP_001272368	XP_003643026
NP_001073890	XP_015155231
NP_001307764	XP_040562594
NP_689854	XP_004937609
XP_006722909	NP_990390
XP_016878010	XP_015134461
NP_001278910	XP_015139943
NP_001317569	XP_040512184
XP_005258413	XP_040551377
NP_001351247	XP_015130910
XP_016883475	XP_015151264
NP_003861	XP_413959
XP_011532283	XP_015154026
XP_011529011	XP_040518669
NP_055616	XP_015139887
XP_011537058	XP_040527111
XP_016872877	XP_015142366
XP_024303906	XP_040549842
NP_001129131	NP_001185904
XP_006720506	XP_025006625
NP_001291288	XP_040557603
NP_003881	XP_040561681
NP_057688	XP_015149526
NP_001317629	XP_015136786
XP_011523673	XP_040506460
XP_016874708	XP_040524352
NP_002842	XP_015136370
NP_000060	NP_001292076
XP_011524010	XP_015138030
XP_016863419	XP_015131936
NP_777576	XP_015142584
NP_055918	XP_414455
XP_006718732	XP_025001281
XP_005268284	XP_025006643
NP_001358972	XP_015135840
XP_005264475	XP_015138807
XP_005263966	XP_015133200
NP_005641	XP_040524524
XP_005260519	XP_015151728
NP_079413	XP_003641879
NP_001371403	XP_025000746
XP_011519299	XP_015142178
NP_001352935	XP_040560539
XP_006722497	XP_015137878
XP_016883780	XP_015144710
XP_011520940	XP_015149932
NP_001374509	XP_004944459
XP_005267693	XP_426439
NP_002572	XP_415522
XP_016868217	XP_040503433
XP_011542759	XP_004935945
NP_060542	XP_040554197
XP_016861487	XP_025010528
NP_061198	XP_015147454
NP_001358118	XP_015132961
NP_005174	XP_040513223
XP_011539386	XP_040507147
NP_002284	XP_040561204
NP_001185879	XP_416950
NP_001278253	XP_024997435
NP_001020029	XP_040557384
XP_011515533	XP_003640913
NP_003052	NP_001264265
XP_016877297	XP_015143128
NP_056100	XP_004949047
NP_056234	XP_416853
NP_001239029	XP_004934871
NP_001365368	XP_015131286
NP_000325	NP_001376335
XP_016877788	XP_025007067
XP_006716714	XP_040532713
NP_001363500	XP_015142640
XP_024309179	XP_414320
NP_000019	XP_015146231
XP_016859146	XP_015145490
XP_016869379	XP_040551955
NP_001292204	XP_015152328
XP_011542260	XP_040526942
NP_997186	XP_421777
NP_008986	XP_040558334
NP_002637	XP_040508828
NP_001276325	XP_040511369
NP_056056	XP_040511429
NP_064693	XP_040561578
XP_016883940	XP_004938438
XP_016879389	XP_015150012
XP_024307588	XP_004947049
XP_016859658	XP_015132672
NP_065970	XP_421940
XP_011537056	XP_015137930
NP_060023	NP_001186586
XP_016866290	XP_040551370
XP_016863960	XP_040555526
NP_659419	XP_416097
XP_011515697	XP_040552327
NP_001363446	NP_001376415
XP_024308699	XP_040553938
NP_001258875	XP_040502741
