NP_001254479	XP_030658210
NP_078966	XP_030677638
NP_001373054	XP_030668595
XP_016866098	XP_030665713
NP_001258137	XP_030653455
XP_016866694	XP_030658462
XP_016876590	XP_030667840
NP_775922	XP_030658438
XP_016865452	XP_003261649
NP_114141	XP_030674604
NP_775871	XP_030678660
NP_055426	XP_030665332
NP_996816	XP_012362082
NP_001139669	XP_030668330
XP_011537072	XP_030672499
XP_011539410	XP_030661477
NP_001278744	XP_030673893
NP_004516	XP_030658511
XP_011530622	XP_030671598
XP_006711865	XP_030668484
NP_001278232	XP_030671590
XP_011521448	XP_030685430
NP_061027	XP_003267665
XP_016874792	XP_030678256
NP_001027	XP_030670219
XP_016867969	XP_030682070
NP_004658	XP_030670325
XP_011513432	XP_030651694
XP_016878188	XP_030670391
XP_006719842	XP_030669367
XP_005264507	XP_030656242
XP_005257602	XP_030684028
NP_001193856	XP_030652607
XP_005266395	XP_030669101
NP_001367	XP_003276212
NP_149015	XP_030677869
NP_653267	XP_030684611
XP_005248319	XP_030670964
XP_016872668	XP_030684759
NP_036222	XP_030679344
NP_001359035	XP_030677484
XP_005262892	XP_030672275
NP_000531	XP_030678080
NP_001264044	XP_030678071
XP_011539620	XP_030661369
XP_011522005	XP_030655285
XP_011523718	XP_030683069
NP_001103132	XP_030677279
NP_000375	XP_003270616
NP_001438	XP_030682117
NP_056193	XP_030661823
XP_011520133	XP_003266831
NP_001073932	XP_030684642
XP_016869458	XP_003256164
NP_001352205	XP_030658389
XP_016861618	XP_030667512
XP_016884680	XP_030663401
XP_024306066	XP_030654794
NP_003881	XP_030652525
XP_016871599	XP_030653554
NP_079350	XP_030674898
NP_001358118	XP_030673372
XP_005251033	XP_030660546
NP_001361	XP_030683977
NP_008835	XP_030651396
XP_016866433	XP_003254212
XP_016878921	XP_030655837
NP_061720	XP_030658401
NP_001352957	XP_030666028
NP_937756	XP_003256182
NP_060360	XP_030651223
NP_002449	XP_030667384
NP_001362453	XP_030653254
NP_699197	XP_030678686
XP_011541131	XP_030684852
XP_024308646	XP_030679224
NP_001072	XP_003257731
NP_150094	XP_003271454
NP_001373103	XP_030654895
XP_006723859	XP_030682470
NP_055935	XP_003268845
XP_011542334	XP_030668503
NP_002448	XP_030657724
NP_005036	XP_030682222
NP_065872	XP_030670367
NP_003449	XP_030667630
XP_005255239	XP_030653818
NP_055524	XP_030683731
XP_011530061	XP_030674948
NP_001157934	XP_030651455
NP_001354553	XP_030675946
NP_705838	XP_003261568
XP_016867131	XP_030677920
NP_001373664	XP_030650411
XP_011515896	XP_030650988
NP_612429	XP_030664932
XP_005270743	XP_030679530
XP_016880204	XP_030682731
XP_006724531	XP_030663409
XP_011524280	XP_030666503
NP_055816	XP_030661742
XP_011508422	XP_030674538
NP_001398	XP_030667703
NP_689594	XP_030652688
XP_016877788	XP_030670112
XP_011509306	XP_030660023
XP_011534404	XP_030665653
NP_001990	XP_030674266
NP_060606	XP_030674563
NP_001345164	XP_030672116
XP_016869379	XP_030660472
NP_001291288	XP_030657618
NP_001278938	XP_030665269
NP_003728	XP_030685179
NP_000129	XP_030669984
NP_004376	XP_003261608
NP_000050	XP_003270298
XP_016866340	XP_030665523
XP_011538288	XP_003278214
NP_005550	XP_030666591
NP_997244	XP_003270347
NP_001357633	XP_030653478
NP_001371661	XP_030669833
NP_150648	XP_003267487
XP_005264059	XP_030683783
NP_001365386	XP_004088284
XP_016882868	XP_030663662
