NP_001254479	XP_028686722
NP_078966	XP_028696075
XP_016866098	XP_028703076
NP_001373054	XP_028682269
NP_001258137	XP_014965606
XP_016866694	XP_014992077
XP_016876590	XP_028707434
NP_775922	XP_014965993
XP_016865452	XP_014995888
NP_001139669	XP_014976895
NP_114141	XP_014977383
NP_001611	XP_014969461
NP_003881	XP_028694767
NP_775871	XP_028685241
NP_055426	XP_014992411
NP_996816	XP_014971746
XP_011537072	XP_015007133
XP_011539410	XP_014982645
XP_011530622	XP_014994649
XP_006711865	XP_014982093
NP_004516	XP_014965780
NP_001278744	XP_014972041
NP_000531	XP_028695840
NP_001278232	XP_014994667
NP_061027	XP_014965558
XP_016874792	XP_015007567
XP_011521448	XP_014982017
NP_036222	XP_014991313
XP_016878188	XP_028706850
NP_001027	XP_014997278
NP_004658	XP_014997211
XP_016867969	XP_028702331
XP_006719842	XP_014976715
XP_005264507	XP_014967554
NP_612429	XP_028707774
XP_005257602	XP_028692726
XP_011513432	XP_028701613
XP_016869379	XP_028708926
NP_001193856	XP_028703437
NP_001367	XP_014999994
XP_005266395	XP_028693258
XP_016872668	XP_028689738
XP_011539620	XP_028694160
NP_149015	XP_028701962
NP_653267	XP_014970447
XP_005248319	XP_028705931
NP_001359035	XP_028685930
XP_005262892	XP_014995141
NP_001354408	XP_014970893
XP_011522005	XP_014974087
NP_001264044	XP_028701788
NP_001103132	XP_028685754
NP_056193	XP_028695465
XP_011523718	XP_028692700
XP_024306373	XP_014974010
NP_001438	XP_001110265
NP_001073932	XP_014971045
NP_000375	XP_001097500
XP_005251033	XP_015001651
XP_016869458	XP_015001362
XP_016861618	XP_014986244
XP_016884680	XP_014982950
NP_001352205	XP_028703529
XP_011520133	XP_014997522
XP_016871599	XP_028682438
NP_001361	XP_001082827
XP_024306066	XP_028697310
NP_008835	XP_015000813
NP_079350	XP_028704313
NP_061720	XP_014987251
XP_016878921	XP_014981250
NP_060360	XP_015001257
XP_016866433	XP_014992013
NP_001352957	XP_014986115
NP_937756	XP_015001385
NP_001362453	XP_028701377
NP_001373103	XP_014994548
XP_024308646	XP_028692050
NP_699197	XP_014972602
XP_011541131	XP_028689868
NP_150094	XP_015000191
NP_055935	XP_014968137
NP_001072	XP_015002047
XP_011542334	XP_028705329
XP_006723859	XP_028684513
NP_005036	XP_028701983
XP_005255239	XP_014981196
NP_065872	XP_002808497
NP_055524	XP_028688285
NP_002449	XP_028688845
XP_011530061	XP_028704272
